10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/real/advogato/advogato.edge
dataset: ./experiments/graphs/real/advogato/advogato.edge with |L|=4 and |V|=5417
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 820992
BFS required index construction time (s): 0.00977002
Method: BFS queryset: 0
*Query 141: (292,3,00000000000000000000000000000001, true), avg=0.00010935465
*Query 142: (292,3,00000000000000000000000000000010, true), avg=0.00021068255
*Query 143: (292,5,00000000000000000000000000000001, true), avg=0.00023134549
*Query 144: (292,6,00000000000000000000000000000010, true), avg=0.00032997131
*Query 145: (292,7,00000000000000000000000000000001, true), avg=0.00016705195
*Query 146: (292,7,00000000000000000000000000000010, true), avg=0.00007597605
*Query 147: (347,3,00000000000000000000000000000010, true), avg=0.00032003720
*Query 148: (347,4,00000000000000000000000000000010, true), avg=0.00034761428
*Query 149: (347,5,00000000000000000000000000000001, true), avg=0.00023166338
*Query 150: (347,5,00000000000000000000000000000100, true), avg=0.00012334187
*Query 151: (347,6,00000000000000000000000000000010, true), avg=0.00018302599
*Query 152: (347,6,00000000000000000000000000000100, true), avg=0.00015457471
*Query 153: (347,7,00000000000000000000000000000001, true), avg=0.00016403198
*Query 154: (347,8,00000000000000000000000000000001, true), avg=0.00016331672
*Query 155: (347,13,00000000000000000000000000000001, true), avg=0.00021235148
*Query 156: (347,13,00000000000000000000000000000100, true), avg=0.00016466776
*Query 157: (347,14,00000000000000000000000000000010, true), avg=0.00035429000
*Query 158: (347,14,00000000000000000000000000000100, true), avg=0.00012365976
*Query 159: (347,15,00000000000000000000000000000010, true), avg=0.00043106079
*Query 160: (347,15,00000000000000000000000000000100, true), avg=0.00024731953
*Query 161: (347,16,00000000000000000000000000000010, true), avg=0.00036867459
*Query 162: (347,17,00000000000000000000000000000010, true), avg=0.00018270810
*Query 163: (350,0,00000000000000000000000000000001, true), avg=0.00011603037
*Query 164: (350,0,00000000000000000000000000000010, true), avg=0.00014527638
*Query 165: (350,1,00000000000000000000000000000001, true), avg=0.00011634826
*Query 166: (350,1,00000000000000000000000000000010, true), avg=0.00014567375
*Query 167: (350,2,00000000000000000000000000000001, true), avg=0.00011793772
*Query 168: (350,2,00000000000000000000000000000010, true), avg=0.00007867813
*Query 169: (350,3,00000000000000000000000000000001, true), avg=0.00011666615
*Query 170: (350,5,00000000000000000000000000000001, true), avg=0.00023063023
*Query 171: (350,5,00000000000000000000000000000010, true), avg=0.00017197926
*Query 172: (350,6,00000000000000000000000000000010, true), avg=0.00029333432
*Query 173: (350,7,00000000000000000000000000000001, true), avg=0.00017436345
*Query 174: (350,8,00000000000000000000000000000001, true), avg=0.00017301241
*Query 175: (350,8,00000000000000000000000000000010, true), avg=0.00017897288
*Query 176: (380,0,00000000000000000000000000000010, true), avg=0.00021465619
*Query 177: (380,1,00000000000000000000000000000010, true), avg=0.00020066897
*Query 178: (380,3,00000000000000000000000000000010, true), avg=0.00020130475
*Query 179: (380,4,00000000000000000000000000000010, true), avg=0.00045569737
*Query 180: (423,0,00000000000000000000000000000001, true), avg=0.00013200441
*Query 181: (423,0,00000000000000000000000000001000, true), avg=0.00017531712
*Query 182: (423,1,00000000000000000000000000000001, true), avg=0.00013303756
*Query 183: (423,2,00000000000000000000000000000001, true), avg=0.00013271967
*Query 184: (423,2,00000000000000000000000000000010, true), avg=0.00035595893
*Query 185: (423,3,00000000000000000000000000000001, true), avg=0.00013295809
